Start,Energy
2020-02-20,1398.26982944
2020-02-21,1341.127
2020-02-22,173.427
2020-02-23,63.041
2020-02-24,1498.68090611
2020-02-25,1219.67926278
2020-02-26,1524.76016631
2020-02-27,1408.505451613
2020-02-28,769.003
2020-02-29,137.246
2020-03-01,84.522
2020-03-02,1577.46608139
2020-03-03,1215.094
2020-03-04,1349.825
2020-03-05,1126.135868331
2020-03-06,1295.502992219
2020-03-07,187.353
2020-03-08,93.75999999999999
2020-03-09,1638.033
2020-03-10,1146.485331108
2020-03-11,1409.227530648
2020-03-12,654.07567268
2020-03-13,473.028
2020-03-14,73.124
2020-03-15,133.228025
2020-03-16,1034.488852224
2020-03-17,418.513899167
2020-03-18,407.70089333
2020-03-19,271.259
2020-03-20,223.432
2020-03-21,8.073
2020-03-22,37.415
2020-03-23,121.721
2020-03-24,67.54215861
2020-03-25,114.635
2020-03-26,122.132
2020-03-27,32.059
2020-03-28,33.191
2020-03-29,0.0
2020-03-30,174.737
2020-03-31,104.612
2020-04-01,103.33599999999998
2020-04-02,117.292
2020-04-03,126.506
2020-04-04,33.414
2020-04-05,30.698999999999998
2020-04-06,64.08809667
2020-04-07,80.977
2020-04-08,79.732
2020-04-09,27.49
2020-04-10,6.252000000000001
2020-04-11,32.568
2020-04-12,33.358
2020-04-13,49.942
2020-04-14,19.708
2020-04-15,12.398
2020-04-16,14.477
2020-04-17,0.0
2020-04-18,31.578000000000003
2020-04-19,0.0
2020-04-20,34.861
2020-04-21,6.395
2020-04-22,33.55
2020-04-23,5.641
2020-04-24,43.984
2020-04-25,5.875
2020-04-26,55.454981667
2020-04-27,37.292
2020-04-28,0.0
2020-04-29,0.853
2020-04-30,35.708
2020-05-01,174.786
2020-05-02,30.386000000000003
2020-05-03,27.852
2020-05-04,282.677025278
2020-05-05,177.603
2020-05-06,208.534
2020-05-07,199.81099999999998
2020-05-08,152.523
2020-05-09,17.701
2020-05-10,108.537
2020-05-11,264.606
2020-05-12,256.434
2020-05-13,228.331
2020-05-14,274.441
2020-05-15,192.99
2020-05-16,48.878
2020-05-17,0.0
2020-05-18,175.662
2020-05-19,258.672
2020-05-20,228.719
2020-05-21,307.311
2020-05-22,137.507
2020-05-23,0.0
2020-05-24,0.0
2020-05-25,0.0
2020-05-26,244.259
2020-05-27,215.065
2020-05-28,363.93399999999997
2020-05-29,279.141
2020-05-30,0.0
2020-05-31,0.0
2020-06-01,337.366
2020-06-02,216.245
2020-06-03,304.358
2020-06-04,311.647
2020-06-05,155.325
2020-06-06,38.506
2020-06-07,0.814
2020-06-08,281.894
2020-06-09,290.647
2020-06-10,293.187
2020-06-11,323.634
2020-06-12,208.212
2020-06-13,52.831
2020-06-14,16.494
2020-06-15,308.25399999999996
2020-06-16,324.603
2020-06-17,365.453
2020-06-18,323.74399999999997
2020-06-19,183.998958333
2020-06-20,37.567
2020-06-21,1.335
2020-06-22,275.856
2020-06-23,262.526
2020-06-24,345.887
2020-06-25,259.338
2020-06-26,329.363
2020-06-27,1.39
2020-06-28,62.763
2020-06-29,251.59676944
2020-06-30,212.456
2020-07-01,275.885
2020-07-02,160.661
2020-07-03,44.657
2020-07-04,0.751
2020-07-05,64.56633111000001
2020-07-06,435.53637083300003
2020-07-07,343.63
2020-07-08,255.784
2020-07-09,463.918
2020-07-10,278.818
2020-07-11,50.468999999999994
2020-07-12,7.599
2020-07-13,387.017206938
2020-07-14,302.5682
2020-07-15,305.43399999999997
2020-07-16,375.934
2020-07-17,239.55599999999998
2020-07-18,59.549
2020-07-19,56.97
2020-07-20,443.621
2020-07-21,256.357570556
2020-07-22,309.592
2020-07-23,411.782
2020-07-24,383.646
2020-07-25,0.0
2020-07-26,4.783
2020-07-27,528.494
2020-07-28,387.621
2020-07-29,334.913
2020-07-30,303.925
2020-07-31,234.632
2020-08-01,8.599
2020-08-02,37.682
2020-08-03,366.478
2020-08-04,0.0
2020-08-05,0.0
2020-08-06,0.0
2020-08-07,0.0
2020-08-08,0.0
2020-08-09,0.0
2020-08-10,0.0
2020-08-11,0.0
2020-08-12,0.0
2020-08-13,0.0
2020-08-14,0.0
2020-08-15,0.0
2020-08-16,0.0
2020-08-17,0.0
2020-08-18,0.0
2020-08-19,0.0
2020-08-20,0.0
2020-08-21,4.091
2020-08-22,0.0
2020-08-23,0.0
2020-08-24,0.0
2020-08-25,29.234
2020-08-26,33.247
2020-08-27,0.0
2020-08-28,17.046
2020-08-29,0.0
2020-08-30,0.0
2020-08-31,0.0
2020-09-01,0.0
2020-09-02,36.92
2020-09-03,0.0
2020-09-04,32.974
2020-09-05,0.0
2020-09-06,0.0
2020-09-07,0.0
2020-09-08,35.356
2020-09-09,28.876
2020-09-10,0.0
2020-09-11,30.062
2020-09-12,0.0
2020-09-13,0.0
2020-09-14,32.754
2020-09-15,16.162
2020-09-16,0.0
2020-09-17,0.0
2020-09-18,18.813
2020-09-19,0.0
2020-09-20,0.0
2020-09-21,25.408
2020-09-22,30.398
2020-09-23,0.0
2020-09-24,0.0
2020-09-25,48.089999999999996
2020-09-26,0.0
2020-09-27,0.0
2020-09-28,37.778
2020-09-29,31.471
2020-09-30,18.889
2020-10-01,0.0
2020-10-02,20.081
2020-10-03,0.0
2020-10-04,0.0
2020-10-05,95.845
2020-10-06,24.942
2020-10-07,12.184
2020-10-08,13.04
2020-10-09,13.776
2020-10-10,0.0
2020-10-11,0.0
2020-10-12,36.972
2020-10-13,27.806
2020-10-14,0.0
2020-10-15,36.626
2020-10-16,19.597
2020-10-17,0.0
2020-10-18,0.0
2020-10-19,32.756
2020-10-20,13.837
2020-10-21,14.02
2020-10-22,13.319
2020-10-23,4.071
2020-10-24,0.0
2020-10-25,0.0
2020-10-26,21.470999999999997
2020-10-27,15.152
2020-10-28,12.665
2020-10-29,34.838
2020-10-30,14.284
2020-10-31,0.0
2020-11-01,0.0
2020-11-02,19.47
2020-11-03,0.0
2020-11-04,34.088
2020-11-05,14.542
2020-11-06,16.478
2020-11-07,0.0
2020-11-08,0.0
2020-11-09,31.313
2020-11-10,0.0
2020-11-11,26.214
2020-11-12,0.0
2020-11-13,31.819
